index,,
Neme,,1=Férfi; 2=Nő
Életkora,,
Gyermeke,Gyermekeinek a száma,
Isk,Iskolázottsági szint,1=általános iskola; 2=középiskola; 3=főiskola; 4=egyetem 
Anyagi,Szubjektív anyagi helyzet,1=szegény; 6=nagyon gazdag
PÉlmény%,Átélt pozitív élmények %-os aránya a hét során (10-90%),
Testi-Fi,Testi és fizikai állapotom,
ÁltLelki,Általános lelki állapotom,
ÁltEgÁll,Elégedett vagyok az általános egészségi állapotommal.,
Fizerő,Fizikailag erősnek és szívósnak érzem magam.,
Arcocska,"Jelölje be annak az arcocskának a betűjelét, amelyik legjobban kifejezi azt, hogy mennyire boldog aktuálisan.","1=nagyon boldog, 7=nagyon boldogtalan"
Aggodalo,Az utóbbi időben nagyon aggódom.,
Ideges,Az utóbbi időben nagyon ideges vagyok.,
Feszült,Az utóbbi időben nagyon feszültnek érzem magam.,
Nyugtala,Az utóbbi időben nagyon nyugtalanul alszom.,
Diener1,Céltudatos és értelmes életem van.,
Diener2,A társas kapcsolataim támogatóak és kielégítőek.,
Diener3,Elfoglalnak és érdekelnek a mindennapi tevékenységeim.,
Diener4,Aktívan hozzájárulok mások boldogságához és jóllétéhez.,
Diener5,"Jól értek azokhoz a tevékenységekhez, amelyek fontosak nekem.",
Diener6,"Jó ember vagyok, és jó életem van.",
Diener7,Optimista vagyok a jövőmmel kapcsolatban.,
Diener8,Az emberek tisztelnek engem.,
Jóllét,MET_Jóllét,
Savor,MET_Savoring,
AVhat,MET_Alkotó-végrehajtó hatékonyság,
Önreg,MET_Önreguláció,
Rezil,MET_Reziliencia,
M_Flow,MET-beli Flow skála,
GJérz,Érzelmi jóllét,
GJpszi,Pszichológiai jóllét,
GJszoc,Szociális jóllét,
GJspir,Spirituális jóllét,
GJérzpsz,GJérz és GJpszi átlaga,
GJspszoc,GJszoc és GJspir átlaga,
PIK_MM,"PIK_Megközelítő, monitorozó alrendszer",
PIK_AV,PIK_Alkotó-végrehajtó hatékonyság,
PIK_Önr,PIK_Önreguláció,
PIK_Rez,PIK_Reziliencia,
PPozÉrz,PERMA_Pozitív érzelem,
PElmély,PERMA_Elmélyülés,
PPozKapc,PERMA_Pozitív kapcsolat,
PÉrtCél,PERMA_Értelmes célok,
PTelj,PERMA_Teljesítmény,
PBoldog,PERMA_Boldogság,
PEgészs,PERMA_Egészség,
PNegÉrz,PERMA_Negatív érzelem,
PMagány,PERMA_Magányosság,
PERMA,PERMA összpontszám,
