Klaszter;PTelj;Pboldog;Pmagany;KLgyak;method;k;type;HC
KL1;25.18;7.974;6.468;77;HKA;7;nstand;0.37
KL2;26.41;9.129;0.673;147;HKA;7;nstand;0.22
KL3;19.16;6.9;6;50;HKA;7;nstand;0.55
KL4;22.13;7.824;1.235;136;HKA;7;nstand;0.41
KL5;15.03;4.5;2.656;32;HKA;7;nstand;0.83
KL6;14;2;8.48;25;HKA;7;nstand;1.12
KL7;22.36;4.333;6.636;33;HKA;7;nstand;0.63
KL1;0.57;0.27;1.08;77;HKA;7;stand;0.37
KL2;0.85;0.81;-0.81;147;HKA;7;stand;0.22
KL3;-0.82;-0.24;0.93;50;HKA;7;stand;0.55
KL4;-0.14;0.2;-0.63;136;HKA;7;stand;0.41
KL5;-1.77;-1.37;-0.17;32;HKA;7;stand;0.83
KL6;-2.01;-2.55;1.74;25;HKA;7;stand;1.12
KL7;-0.08;-1.45;1.14;33;HKA;7;stand;0.63
KL1;(M);.;M+;77;HKA;7;cfa;0.37
KL2;M;M;A;147;HKA;7;cfa;0.22
KL3;A;.;M;50;HKA;7;cfa;0.55
KL4;.;.;(A);136;HKA;7;cfa;0.41
KL5;A+++;A+;.;32;HKA;7;cfa;0.83
KL6;A+++;A++++;M+++;25;HKA;7;cfa;1.12
KL7;.;A++;M+;33;HKA;7;cfa;0.63
KL1;24.06;7.768;5.795;112;MKA;3;nstand;0.51
KL2;25.14;8.712;0.751;229;MKA;3;nstand;0.33
KL3;18.27;5.264;4.78;159;MKA;3;nstand;2.22
KL1;0.31;0.17;0.86;112;MKA;3;stand;0.51
KL2;0.56;0.62;-0.79;229;MKA;3;stand;0.33
KL3;-1.02;-1.01;0.53;159;MKA;3;stand;2.22
KL1;.;.;M;112;MKA;3;cfa;0.51
KL2;(M);(M);A;229;MKA;3;cfa;0.33
KL3;A+;A+;(M);159;MKA;3;cfa;2.22
