Step;KL#;Ess_increase;EESS%;Pontbisz;XBmod;Sil.eh.;HC_avg;HCmin-HCmax;Clusters;method
i=281;10;17.603;81.48;0.342;0.473;0.592;0.379;0,18-1,03;1 (53) 14 (26);Ward
i=282;9;18.362;80.26;0.351;0.496;0.59;0.404;0,24-1,03;3 (25) 6 (40);Ward
i=283;8;23.059;78.72;0.355;0.456;0.598;0.434;0,24-1,03;4 (106) 29 (27);Ward
i=284;7;28.29;76.83;0.37;0.534;0.61;0.471;0,24-1,03;54 (25) 148 (13);Ward
i=285;6;31.904;74.7;0.369;0.491;0.614;0.513;0,24-1,44;3 (65) 15 (25);Ward
i=286;5;71.989;69.89;0.361;0.394;0.595;0.609;0,24-1,44;3 (90) 54 (38);Ward
i=287;4;107.419;62.71;0.33;0.25;0.605;0.75;0,24-1,86;2 (160) 4 (133);Ward
i=288;3;108.133;55.49;0.465;0.639;0.674;0.894;0,47-1,86;1 (79) 2 (293);Ward
i=289;2;229.741;40.14;0.514;0.716;0.694;1.2;0,98-1,86;1 (372) 3 (128);Ward
i=281;10;5.629;76.71;0.461;0.654;0.63;0.475;0,00-0,79;3 (24) 42 (13);Max
i=282;9;18.419;75.48;0.462;0.662;0.624;0.499;0,00-0,79;15 (10) 54 (18);Max
i=283;8;27.602;73.64;0.461;0.637;0.615;0.536;0,00-1,21;1 (87) 2 (258);Max
i=284;7;206.197;59.86;0.513;0.447;0.535;0.811;0,00-1,21;9 (26) 17 (49);Max
i=285;6;36.923;57.4;0.518;0.518;0.524;0.86;0,00-1,21;15 (28) 443 (1);Max
i=286;5;11.059;56.66;0.517;0.51;0.525;0.875;0,78-1,43;3 (37) 9 (75);Max
i=287;4;68.68;52.07;0.522;0.553;0.564;0.965;0,79-1,43;1 (345) 3 (112);Max
i=288;3;271.695;33.92;0.658;0.547;0.697;1.326;0,79-1,43;1 (457) 7 (14);Max
i=289;2;120.086;25.9;0.633;0.844;0.774;1.485;1,43-1,49;1 (471) 15 (29);Max
i=281;10;87.268;13.13;0.455;-0.341;0.448;1.738;0,00-1,78;1 (489) 7 (1);Min
i=282;9;5.415;12.77;0.47;-0.344;0.525;1.745;0,00-1,78;1 (490) 263 (1);Min
i=283;8;3.759;12.52;0.493;-0.346;0.645;1.75;0,00-1,78;1 (491) 258 (3);Min
i=284;7;62.567;8.34;0.401;-0.376;0.638;1.833;0,00-1,86;1 (494) 55 (1);Min
i=285;6;10.275;7.66;0.409;-0.381;0.687;1.847;0,00-1,87;1 (495) 134 (1);Min
i=286;5;19.781;6.33;0.38;0.302;0.697;1.873;0,00-1,89;1 (496) 157 (1);Min
i=287;4;23.016;4.8;0.333;0.421;0.714;1.904;0,00-1,92;1 (497) 185 (1);Min
i=288;3;9.85;4.14;0.363;0.835;0.767;1.917;0,00-1,92;1 (498) 192 (1);Min
i=289;2;17.317;2.98;0.381;0.935;0.889;1.94;0,00-1,94;1 (499) 443 (1);Min
